author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
93 Регион-Строй;real_estate_agent;https://krasnodar.cian.ru/rent/flat/283816770/;Краснодар;rent;flat;10;10;5;260;200000;0;2008;45;Центральный; Комсомольская;51;
ID 106691391;homeowner;https://krasnodar.cian.ru/rent/flat/291549367/;Краснодар;rent;flat;10;10;5;257;170000;0;2008;-1;Центральный; Комсомольская;51;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307260275/;Краснодар;rent;flat;7;11;5;280;200000;0;-1;-1;мкр. Аврора; Шоссе Нефтяников;09.янв;
ID 102662446;homeowner;https://krasnodar.cian.ru/rent/flat/306576228/;Краснодар;rent;flat;8;16;5;160;250000;0;2010;30;Западный;Дальняя ;39/3;
ID 1174828;realtor;https://krasnodar.cian.ru/rent/flat/307712858/;Краснодар;rent;flat;7;8;5;290;243000;0;-1;-1;мкр. Аврора; Шоссе Нефтяников;09.янв;
ID 1174828;realtor;https://krasnodar.cian.ru/rent/flat/307713727/;Краснодар;rent;flat;7;8;5;290;243000;0;-1;-1;мкр. Аврора; Шоссе Нефтяников;09.янв;
ID 1174828;realtor;https://krasnodar.cian.ru/rent/flat/305569598/;Краснодар;rent;flat;6;8;5;290;243000;0;-1;-1;мкр. Аврора; Шоссе Нефтяников;09.янв;
ID 78659029;homeowner;https://krasnodar.cian.ru/rent/flat/307378125/;Краснодар;rent;flat;8;9;2;55.5;10000;0;2023;-1;Прикубанский; Имени Генерала Корнилова;9к2;
ID 107703680;homeowner;https://krasnodar.cian.ru/rent/flat/292659260/;Краснодар;rent;flat;10;10;1;31.2;18000;0;2019;10.3;Прикубанский; Имени В.М. Комарова;21/1к1;
ID 19392199;homeowner;https://krasnodar.cian.ru/rent/flat/307854388/;Краснодар;rent;flat;12;17;2;60;65000;0;2023;-1;Прикубанский; Ивана Беличенко;83;
ID 103643624;homeowner;https://krasnodar.cian.ru/rent/flat/308015969/;Краснодар;rent;flat;11;17;1;35.5;22000;0;2010;-1;Прикубанский;Кореновская ;73;
ID 79512968;homeowner;https://krasnodar.cian.ru/rent/flat/303454601/;Краснодар;rent;flat;1;3;1;28.3;16000;0;2010;5;мкр. РИП;Гаражный переулок;14.янв;
ID 84042119;homeowner;https://krasnodar.cian.ru/rent/flat/307830520/;Краснодар;rent;flat;1;17;1;50;35000;0;2009;17;мкр. Черемушки;Ставропольская ;207/1;
ID 98047877;homeowner;https://krasnodar.cian.ru/rent/flat/307498740/;Краснодар;rent;flat;16;17;1;39.7;26000;0;2016;13.4;Прикубанский; Душистая;79к1;
ID 101832234;homeowner;https://krasnodar.cian.ru/rent/flat/307647302/;Краснодар;rent;flat;13;21;2;48;27000;0;-1;-1;Имени Демьяна Бедного жилмассив; Степная;01.янв;
Анна Браун;realtor;https://krasnodar.cian.ru/rent/flat/305729535/;Краснодар;rent;flat;5;7;1;34;23000;0;2012;10;мкр. РИП;Московская ;140литА;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308024085/;Краснодар;rent;flat;6;24;1;42;37000;0;2022;-1;;;;
ID 107424415;homeowner;https://krasnodar.cian.ru/rent/flat/303150945/;Краснодар;rent;flat;8;9;1;34;23000;0;2024;17;Прикубанский; Скандинавская;1к13;
ID 63353355;homeowner;https://krasnodar.cian.ru/rent/flat/307757528/;Краснодар;rent;flat;17;20;2;60;40000;0;2020;13;Прикубанский; Западный обход;45;
Вера Сёмка;realtor;https://krasnodar.cian.ru/rent/flat/307916297/;Краснодар;rent;flat;8;9;2;57.7;25000;0;2020;-1;Прикубанский; Летчика Позднякова;2к7;
