author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
ID 106004912;homeowner;https://krasnodar.cian.ru/rent/flat/296171032/;Краснодар;rent;flat;7;9;1;37;28000;0;2018;7;мкр. Восточно-Кругликовский;Черкасская ;125;
ID 16635499;homeowner;https://krasnodar.cian.ru/rent/flat/307086959/;Краснодар;rent;flat;3;21;1;46;40000;0;2018;-1;Прикубанский; Александра Покрышкина;25Ак1;
ID 118844929;realtor;https://krasnodar.cian.ru/rent/flat/307657856/;Краснодар;rent;flat;13;20;1;50;27000;0;2020;-1;Имени Демьяна Бедного жилмассив; Степная;01.янв;
ID 57594600;realtor;https://krasnodar.cian.ru/rent/flat/306785631/;Краснодар;rent;flat;9;9;1;35;27000;0;2023;-1;Прикубанский; Имени Генерала Корнилова;9к2;
ID 60496314;realtor;https://krasnodar.cian.ru/rent/flat/307661941/;Краснодар;rent;flat;12;17;1;38;30000;0;2023;-1;Прикубанский; Им. Мурата Ахеджака;10А;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/279590589/;Краснодар;rent;flat;10;25;1;45;55000;0;2019;-1;Западный;Дальняя ;8к2;
Вадим Левицкий;realtor;https://krasnodar.cian.ru/rent/flat/307269544/;Краснодар;rent;flat;12;22;1;48;40000;0;2014;-1;мкр. Дубинка; Имени Чехова;6;
ID 64943740;unknown;https://krasnodar.cian.ru/rent/flat/305578108/;Краснодар;rent;flat;8;16;1;27;28000;0;2022;-1;Прикубанский; Западный обход;57к3;
ID 115123380;homeowner;https://krasnodar.cian.ru/rent/flat/306122754/;Краснодар;rent;flat;4;24;1;38;35000;0;2023;11;мкр. Славянский; Заполярная;39к9;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/299179268/;Краснодар;rent;flat;5;16;2;90;80000;0;2006;-1;мкр. Центральный; Кубанская Набережная;;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307274146/;Краснодар;rent;flat;5;9;2;110;80000;0;2004;-1;мкр. Аврора; Федора Лузана;19;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/275097946/;Краснодар;rent;flat;12;24;2;60;80000;0;2018;-1;Западный;Дальняя ;8к1;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/239551479/;Краснодар;rent;flat;4;22;2;90;90000;0;2014;-1;мкр. Центральный; Кубанская Набережная;37;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/291842223/;Краснодар;rent;flat;19;24;2;80;120000;0;2008;-1;мкр. Школьный; Филатова;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/187000348/;Краснодар;rent;flat;22;24;2;65;120000;0;-1;-1;;;;
Ева Дюмина;realtor;https://krasnodar.cian.ru/rent/flat/307808451/;Краснодар;rent;flat;2;25;2;70;90000;0;2018;-1;мкр. Фестивальный; Совхозная;1к1;
Самолет Плюс Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306177509/;Краснодар;rent;flat;24;24;2;57;35000;0;2021;12;Прикубанский;бульвар Адмирала Пустошкина;11.фев;
Самолет Плюс Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/305942949/;Краснодар;rent;flat;7;12;2;55;35000;0;2004;15.5;мкр. ККБ;Черкасская ;53;
Самолет Плюс Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304770314/;Краснодар;rent;flat;8;16;2;72.7;40000;0;2020;16;мкр. ЗИП; Карякина;5к1;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307709585/;Краснодар;rent;flat;10;23;2;80;60000;0;2017;-1;мкр. Центральный; Кубанская Набережная;39;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/286522817/;Краснодар;rent;flat;22;26;2;65;60000;0;2016;15;Центральный;Красная ;176лит1;
ID 12624989;realtor;https://krasnodar.cian.ru/rent/flat/290132500/;Краснодар;rent;flat;7;11;2;90;55000;0;2014;20;мкр. Центральный; Красина;9/1к2;
ID 12269792;realtor;https://krasnodar.cian.ru/rent/flat/307752307/;Краснодар;rent;flat;11;16;2;60;40000;0;2022;-1;Прикубанский; Конгрессная;19.янв;
Дмитрий Тсизмалиди;realtor;https://krasnodar.cian.ru/rent/flat/307396370/;Краснодар;rent;flat;4;15;2;88;70000;0;2011;-1;Завод Измерительных Приборов мкр; Зиповская;04.мар;
ID 23380777;unknown;https://krasnodar.cian.ru/rent/flat/306449453/;Краснодар;rent;flat;11;18;2;65;50000;0;2015;-1;мкр. ККБ; Домбайская;10/1к1;
ID 110309557;homeowner;https://krasnodar.cian.ru/rent/flat/307415601/;Краснодар;rent;flat;1;6;2;64;50000;0;2011;17;мкр. Немецкая Деревня; Карлсруэвская;12;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/260713429/;Краснодар;rent;flat;7;24;2;75;95000;0;2018;-1;Западный;Дальняя ;8к1;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/280650515/;Краснодар;rent;flat;10;26;2;72;95000;0;2018;18;мкр. Фестивальный; Совхозная;1к5;
ID 115994866;homeowner;https://krasnodar.cian.ru/rent/flat/301432617/;Краснодар;rent;flat;5;16;2;58.9;38000;0;2022;-1;Прикубанский; Кирилла Россинского;03.янв;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306931536/;Краснодар;rent;flat;3;3;2;70;71000;0;2022;-1;Прикубанский; Атлантическая;2к8;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/188688562/;Краснодар;rent;flat;10;16;2;78;65000;0;2009;-1;мкр. Центральный; Кубанская Набережная;;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/292419644/;Краснодар;rent;flat;12;18;2;60;45000;0;2017;-1;мкр. Аврора; Шоссе Нефтяников;18к1;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307186724/;Краснодар;rent;flat;8;20;2;80;80000;0;2012;15;мкр. Центральный; Кубанская Набережная;37/12;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/295752380/;Краснодар;rent;flat;14;24;2;100;120000;0;2015;-1;мкр. Центральный; Буденного;129;
ID 89990067;homeowner;https://krasnodar.cian.ru/rent/flat/272565922/;Краснодар;rent;flat;6;16;2;72;60000;0;2018;16;Западный;Дальняя ;4/2к3;
ID 60298350;realtor;https://krasnodar.cian.ru/rent/flat/305865047/;Краснодар;rent;flat;16;20;2;40;55000;0;2022;-1;Прикубанский; Им. Героя Яцкова И.В.;19к3;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/268013523/;Краснодар;rent;flat;17;25;2;70;120000;0;2018;-1;мкр. Фестивальный; Совхозная;1к5;
ID 91404531;homeowner;https://krasnodar.cian.ru/rent/flat/307588740/;Краснодар;rent;flat;13;19;2;70;44000;0;2023;12;Прикубанский;бульвар Адмиралтейский;3;
ID 12857715;unknown;https://krasnodar.cian.ru/rent/flat/304037474/;Краснодар;rent;flat;6;25;2;45;44000;0;2021;17;мкр. ККБ; Домбайская;55к2;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/279174020/;Краснодар;rent;flat;8;11;2;90;60000;0;2014;21;мкр. Центральный; Красина;9/1к3;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307711797/;Краснодар;rent;flat;15;24;2;65;60000;0;2018;-1;мкр. Фестивальный; Совхозная;1к1;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307656326/;Краснодар;rent;flat;16;24;2;86;73500;0;2012;-1;Западный; Имени П.М. Гаврилова;27;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/288757267/;Краснодар;rent;flat;22;26;2;75;85000;0;2017;15;мкр. Фестивальный; Совхозная;1к7;
Наталия Каменская;realtor;https://krasnodar.cian.ru/rent/flat/306790540/;Краснодар;rent;flat;14;20;2;66;50000;0;2023;-1;Прикубанский; Константина Гондаря;103к1;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/303741748/;Краснодар;rent;flat;10;21;2;70;110000;0;2017;-1;мкр. Центральный; Николая Кондратенко;6к1;
ID 115086750;homeowner;https://krasnodar.cian.ru/rent/flat/300511437/;Краснодар;rent;flat;7;20;2;76.4;45000;0;2023;18;мкр. Авиагородок;Стахановская ;1/5к5;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/265093660/;Краснодар;rent;flat;15;25;2;70;80000;0;2023;18;мкр. Фестивальный; Совхозная;1к5;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/300653459/;Краснодар;rent;flat;5;26;2;70;95000;0;2018;19;мкр. Фестивальный; Совхозная;1к5;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/279651170/;Краснодар;rent;flat;10;24;2;50;60000;0;2017;-1;мкр. Центральный; Кубанская Набережная;39;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/167329388/;Краснодар;rent;flat;15;19;2;76;65000;0;2010;-1;мкр. Центральный; Кубанская Набережная;;
ID 20144203;unknown;https://krasnodar.cian.ru/rent/flat/261726282/;Краснодар;rent;flat;7;24;2;110;70000;0;2015;18;мкр. Центральный; Буденного;129;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/279996436/;Краснодар;rent;flat;15;24;2;100;250000;0;2015;-1;мкр. Центральный; Буденного;129;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/204253412/;Краснодар;rent;flat;11;24;2;90;75000;0;2012;-1;мкр. Кожзавод; Кожевенная;;
ID 117862665;homeowner;https://krasnodar.cian.ru/rent/flat/306282739/;Краснодар;rent;flat;4;11;2;92;55000;0;2014;21;мкр. Центральный; Красина;9/1к3;
ID 118324085;homeowner;https://krasnodar.cian.ru/rent/flat/306884454/;Краснодар;rent;flat;22;25;2;48;65000;0;-1;9;Центральный;Красная ;;
ID 16912624;homeowner;https://krasnodar.cian.ru/rent/flat/239026109/;Краснодар;rent;flat;2;16;2;57;35000;0;2006;12;мкр. ЗИП; Имени 40-летия Победы;33/11;
Наталья Борзаковская;realtor;https://krasnodar.cian.ru/rent/flat/307534171/;Краснодар;rent;flat;10;18;2;69;31000;0;2021;12;Прикубанский; Командорская;15.янв;
ID 113920904;homeowner;https://krasnodar.cian.ru/rent/flat/306451787/;Краснодар;rent;flat;3;3;2;70;65000;0;2022;23;Прикубанский; Атлантическая;2к8;
ID 121613052;homeowner;https://krasnodar.cian.ru/rent/flat/307156072/;Краснодар;rent;flat;3;5;2;44;35000;0;1969;-1;мкр. Черемушки; Селезнева;90;
ID 104000552;homeowner;https://krasnodar.cian.ru/rent/flat/302946518/;Краснодар;rent;flat;7;9;2;48;40000;0;2016;11;Прикубанский; Западный обход;42к2;
ID 112786167;homeowner;https://krasnodar.cian.ru/rent/flat/307255771/;Краснодар;rent;flat;16;17;2;73;70000;0;2016;18;мкр. Фестивальный;проспект Константина Образцова;4к2;
ID 120360279;homeowner;https://krasnodar.cian.ru/rent/flat/305885009/;Краснодар;rent;flat;19;19;2;71.7;60000;0;2016;18;Западный;Гаражная ;71/1;
Вадим Левицкий;realtor;https://krasnodar.cian.ru/rent/flat/307571982/;Краснодар;rent;flat;4;16;2;86;50000;0;-1;16;мкр. Фестивальный; Гагарина;232;
ID 121251095;homeowner;https://krasnodar.cian.ru/rent/flat/306785869/;Краснодар;rent;flat;13;18;2;70;50000;0;2018;-1;мкр. Горхутор; Агрономическая;2/5лит1;
ID 77002859;homeowner;https://krasnodar.cian.ru/rent/flat/306659308/;Краснодар;rent;flat;3;18;2;63;55000;0;2022;-1;Прикубанский; Григория Булгакова;6;
ID 12961643;homeowner;https://krasnodar.cian.ru/rent/flat/306692941/;Краснодар;rent;flat;1;11;2;57.1;37000;0;2011;10;мкр. Покровка;набережная Карасунская;99;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/279398794/;Краснодар;rent;flat;17;22;2;50;60000;0;2021;-1;Западный;Гаражная ;87;
ID 112643149;homeowner;https://krasnodar.cian.ru/rent/flat/301812316/;Краснодар;rent;flat;12;24;2;68;65000;0;2021;13;мкр. ХБК;Уральская ;71к3;
ID 102332469;homeowner;https://krasnodar.cian.ru/rent/flat/306126186/;Краснодар;rent;flat;21;24;2;70;40000;0;2023;19;мкр. ККБ; Домбайская;55к5;
ID 101203964;homeowner;https://krasnodar.cian.ru/rent/flat/306844184/;Краснодар;rent;flat;17;17;2;65;40000;0;2015;14;Имени Петра Метальникова мкр; Петра Метальникова;5к2;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/292901782/;Краснодар;rent;flat;11;26;2;75;75000;0;2018;-1;мкр. Фестивальный; Совхозная;1к5;
Павел  Кононов;realtor;https://krasnodar.cian.ru/rent/flat/301681465/;Краснодар;rent;flat;11;26;2;63;75000;0;2016;-1;Центральный;Красная ;176лит1;
ID 93060176;homeowner;https://krasnodar.cian.ru/rent/flat/306398195/;Краснодар;rent;flat;7;24;2;68;40000;0;2023;15;мкр. Славянский; Заполярная;39к8;
ID 118844929;realtor;https://krasnodar.cian.ru/rent/flat/307657782/;Краснодар;rent;flat;9;16;2;68;30000;0;2009;-1;мкр. Восточно-Кругликовский;Восточно-Кругликовская ;48;
ID 118844929;realtor;https://krasnodar.cian.ru/rent/flat/307657834/;Краснодар;rent;flat;4;18;2;64;35000;0;2023;-1;Прикубанский;бульвар Адмиралтейский;3;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/284773560/;Краснодар;rent;flat;19;24;2;100;99000;0;2017;-1;мкр. Центральный; Кубанская Набережная;39;
ID 20881248;homeowner;https://krasnodar.cian.ru/rent/flat/306792665/;Краснодар;rent;flat;3;16;2;105;95000;0;-1;20;мкр. Аврора; Имени Дзержинского;93к2;
ID 1174828;realtor;https://krasnodar.cian.ru/rent/flat/307713279/;Краснодар;rent;flat;20;21;2;90;80000;0;2010;-1;мкр. Центральный; Кубанская Набережная;37/11;
ID 114852886;homeowner;https://krasnodar.cian.ru/rent/flat/303662638/;Краснодар;rent;flat;8;16;2;62;65000;0;2022;-1;Прикубанский; Питерская;40;
ID 118103428;homeowner;https://krasnodar.cian.ru/rent/flat/304767197/;Краснодар;rent;flat;3;21;2;72.4;60000;0;2018;22.4;мкр. Центральный; Октябрьская;181/2к3;
Павел  Кононов;realtor;https://krasnodar.cian.ru/rent/flat/307323653/;Краснодар;rent;flat;11;24;2;60;60000;0;2015;-1;мкр. Центральный; Буденного;129;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/279285926/;Краснодар;rent;flat;9;24;2;75;55000;0;2016;-1;Западный; Гаврилова;27.янв;
ID 121384025;homeowner;https://krasnodar.cian.ru/rent/flat/306907544/;Краснодар;rent;flat;5;10;2;52.6;50000;0;2009;10;Хлопчато-бумажный Комбинат мкр; Алтайская;04.фев;
Павел  Кононов;realtor;https://krasnodar.cian.ru/rent/flat/307330618/;Краснодар;rent;flat;9;21;2;60;50000;0;2021;-1;Прикубанский; Адмирала Серебрякова;3к3;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/279746119/;Краснодар;rent;flat;15;19;2;75;70000;0;2016;-1;мкр. Центральный; Октябрьская;181/2;
ID 84850863;unknown;https://krasnodar.cian.ru/rent/flat/307085284/;Краснодар;rent;flat;4;25;2;83.9;90000;0;-1;30;Центральный;Красная ;176лит4;
ID 44133789;homeowner;https://krasnodar.cian.ru/rent/flat/232215089/;Краснодар;rent;flat;19;25;2;67;65000;0;-1;-1;Центральный;Красная ;176/5;
ID 48316253;homeowner;https://krasnodar.cian.ru/rent/flat/292779486/;Краснодар;rent;flat;7;24;1;57;40000;0;2009;-1;мкр. Центральный; Кубанская Набережная;31.янв;
ID 65230421;homeowner;https://krasnodar.cian.ru/rent/flat/307707275/;Краснодар;rent;flat;1;11;1;52;40000;0;2014;-1;мкр. РИП; Агрохимическая;136/1;
Александр Карпенко;realtor;https://krasnodar.cian.ru/rent/flat/305773153/;Краснодар;rent;flat;11;12;1;34;35000;0;2023;11;Прикубанский; Им. Мурата Ахеджака;12к3;
ID 96250019;unknown;https://krasnodar.cian.ru/rent/flat/305877630/;Краснодар;rent;flat;15;16;1;35;40000;0;2012;-1;мкр. Панорама;Восточно-Кругликовская ;22;
ID 53010873;unknown;https://krasnodar.cian.ru/rent/flat/302181125/;Краснодар;rent;flat;10;17;1;55;40000;0;2009;14;мкр. Центральный; Кубанская Набережная;37/10;
ID 84986096;realtor;https://krasnodar.cian.ru/rent/flat/306791568/;Краснодар;rent;flat;3;20;1;42;40000;0;2016;-1;Прикубанский;Российская ;72/6;
ID 16417060;homeowner;https://krasnodar.cian.ru/rent/flat/300003250/;Краснодар;rent;flat;5;9;1;56;40000;0;2004;-1;мкр. Аврора; Федора Лузана;19;
ID 94886070;homeowner;https://krasnodar.cian.ru/rent/flat/307619863/;Краснодар;rent;flat;12;20;1;49;40000;0;-1;12;мкр. Дубинка; Имени Чехова;;
ID 117346335;homeowner;https://krasnodar.cian.ru/rent/flat/302866421/;Краснодар;rent;flat;9;17;1;36;41000;0;2020;9.6;мкр. РИП; Евгении Жигуленко;25к3;
ID 17197939;homeowner;https://krasnodar.cian.ru/rent/flat/307888568/;Краснодар;rent;flat;12;21;1;48;40000;0;2017;14;мкр. Центральный; Октябрьская;181/2к2;
ID 102096722;realtor;https://krasnodar.cian.ru/rent/flat/307852269/;Краснодар;rent;flat;6;18;1;47;42000;0;2017;-1;Прикубанский; Им. Мурата Ахеджака;12к1;
Валентина Первых;realtor;https://krasnodar.cian.ru/rent/flat/295531142/;Краснодар;rent;flat;11;16;1;54;42000;0;2010;15;Центральный; Промышленная;19.янв;
Петр Сивушкин;realtor;https://krasnodar.cian.ru/rent/flat/298106323/;Краснодар;rent;flat;8;21;1;36.6;40000;0;2022;9.9;Прикубанский; Героя Владислава Посадского;16.янв;
Успешная Сделка;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307851028/;Краснодар;rent;flat;22;25;1;35.2;40000;0;2022;16.1;Прикубанский; Героя Пешкова;14к3;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307879642/;Краснодар;rent;flat;13;16;1;45;40000;0;2015;15;Школьный мкр; 9 Мая;48/1к2;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306979631/;Краснодар;rent;flat;5;17;1;40;43000;0;2022;-1;Прикубанский; Имени Героя Ростовского;8к2;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307628967/;Краснодар;rent;flat;6;24;1;39;43000;0;2021;-1;Прикубанский; Имени Героя Георгия Бочарникова;12;
ID 46300306;homeowner;https://krasnodar.cian.ru/rent/flat/253953518/;Краснодар;rent;flat;16;16;1;50;40000;0;2017;12;мкр. Центральный; Береговая;2к1;
ID 13685219;homeowner;https://krasnodar.cian.ru/rent/flat/271568062/;Краснодар;rent;flat;20;25;1;50;40000;0;2020;12;мкр. ХБК;Старокубанская ;124;
ID 113549744;homeowner;https://krasnodar.cian.ru/rent/flat/305046190/;Краснодар;rent;flat;6;18;1;40;40000;0;2023;12;Прикубанский; Героя Владислава Посадского;17к2;
ID 108489723;homeowner;https://krasnodar.cian.ru/rent/flat/307990132/;Краснодар;rent;flat;6;23;1;47;43000;0;2016;12;Солнечный мкр; Казбекская;1;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307825844/;Краснодар;rent;flat;6;18;1;35;44000;0;2023;-1;Прикубанский; Героя Владислава Посадского;17к2;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307909507/;Краснодар;rent;flat;9;18;1;32;44000;0;2016;-1;мкр. Панорама;Восточно-Кругликовская ;30.янв;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307060551/;Краснодар;rent;flat;7;17;1;32.5;44000;0;2019;-1;мкр. Панорама; Героев-Разведчиков;8к4;
Девелопмент-Юг;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304214136/;Краснодар;rent;flat;5;24;1;39.8;40000;0;2021;10.1;Западный;Гаражная ;87;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/160734168/;Краснодар;rent;flat;8;16;1;50;45000;0;2008;-1;мкр. Центральный; Постовая;;
ID 116991574;homeowner;https://krasnodar.cian.ru/rent/flat/304346489/;Краснодар;rent;flat;6;24;1;38;45000;0;2021;16;Западный;Гаражная ;87;
ID 114852233;homeowner;https://krasnodar.cian.ru/rent/flat/307591045/;Краснодар;rent;flat;9;19;1;36;45000;0;2016;10;мкр. Панорама;Восточно-Кругликовская ;30.янв;
ID 102268415;realtor;https://krasnodar.cian.ru/rent/flat/306512862/;Краснодар;rent;flat;8;24;1;52;45000;0;2012;-1;Центральный;Кубанская ;45к3;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307711625/;Краснодар;rent;flat;9;23;1;47;45000;0;2016;-1;Центральный;Красная ;176;
ID 51377781;homeowner;https://krasnodar.cian.ru/rent/flat/307708494/;Краснодар;rent;flat;3;3;1;41;45000;0;1955;-1;мкр. Центральный;Красная ;165/1;
ID 21828892;unknown;https://krasnodar.cian.ru/rent/flat/306659128/;Краснодар;rent;flat;11;17;1;45;45000;0;2015;-1;мкр. Панорама; Имени Жлобы;141;
ID 92206000;homeowner;https://krasnodar.cian.ru/rent/flat/306659164/;Краснодар;rent;flat;2;5;1;42;45000;0;1965;-1;Центральный; Мира;44;
ID 114852886;homeowner;https://krasnodar.cian.ru/rent/flat/305497880/;Краснодар;rent;flat;1;18;1;47;45000;0;2017;-1;Прикубанский; Им. Мурата Ахеджака;12к1;
ID 91029898;homeowner;https://krasnodar.cian.ru/rent/flat/296135710/;Краснодар;rent;flat;8;16;1;45;47000;0;2014;13.2;Солнечный мкр; Архитектора Петина;14;
ID 93750588;realtor;https://krasnodar.cian.ru/rent/flat/307695117/;Краснодар;rent;flat;2;5;1;30;45000;0;1966;9;Центральный; Одесская;44;
ID 114894339;homeowner;https://krasnodar.cian.ru/rent/flat/300305379/;Краснодар;rent;flat;12;18;1;42;45000;0;2020;-1;Прикубанский;Круговая ;4Вк6;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307449497/;Краснодар;rent;flat;2;16;1;43;47500;0;2015;-1;мкр. Панорама; Героев-Разведчиков;12.янв;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307919077/;Краснодар;rent;flat;4;16;1;51;47500;0;2023;-1;Прикубанский; Константина Гондаря;109;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307899960/;Краснодар;rent;flat;19;19;1;40;47500;0;2020;-1;мкр. Школьный; Черниговская;1;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304516789/;Краснодар;rent;flat;13;17;1;50;47500;0;2020;-1;Прикубанский;Круговая ;4Вк7;
ID 109465920;homeowner;https://krasnodar.cian.ru/rent/flat/307479583/;Краснодар;rent;flat;19;19;1;44;45000;0;2020;10;мкр. Школьный; Черниговская;1;
ID 21776435;homeowner;https://krasnodar.cian.ru/rent/flat/305824460/;Краснодар;rent;flat;2;18;1;40.6;44500;0;-1;21.5;Прикубанский; Наставников;10;
Девелопмент-Юг;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308014073/;Краснодар;rent;flat;10;24;1;39.8;43000;0;2021;10.1;Западный;Гаражная ;87;
ID 77021443;unknown;https://krasnodar.cian.ru/rent/flat/307923621/;Краснодар;rent;flat;5;10;1;38;45000;0;2021;9;Прикубанский; Конгрессная;27;
ID 24159698;homeowner;https://krasnodar.cian.ru/rent/flat/274062686/;Краснодар;rent;flat;19;24;1;42;45000;0;2020;14;мкр. Фестивальный; Каляева;263/4к1;
ID 13685219;homeowner;https://krasnodar.cian.ru/rent/flat/210633305/;Краснодар;rent;flat;18;19;1;43;45000;0;2018;-1;Западный;Дальняя ;4/2к3;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/303692772/;Краснодар;rent;flat;16;17;1;50;50000;0;2015;-1;мкр. Центральный; Кубанская Набережная;33;
Девелопмент-Юг;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308014071/;Краснодар;rent;flat;10;24;1;39.8;45000;0;2021;10.1;Западный;Гаражная ;87;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304548139/;Краснодар;rent;flat;12;22;1;52;45000;0;2014;21;мкр. Центральный; Кубанская Набережная;37;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/298027830/;Краснодар;rent;flat;10;20;1;55;50000;0;2010;-1;мкр. Центральный; Кубанская Набережная;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/307134905/;Краснодар;rent;flat;11;24;1;55;50000;0;2014;-1;мкр. Центральный; Кубанская Набережная;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/189116168/;Краснодар;rent;flat;20;24;1;43;50000;0;2016;-1;;;;
Надежда  Дунаева;realtor;https://krasnodar.cian.ru/rent/flat/293522661/;Краснодар;rent;flat;9;23;1;52;50000;0;2008;-1;мкр. Черемушки; Селезнева;88/1;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307710119/;Краснодар;rent;flat;10;23;1;55;50000;0;2017;-1;мкр. Центральный; Кубанская Набережная;39;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/306150357/;Краснодар;rent;flat;12;16;1;50;50000;0;2015;-1;мкр. Центральный; Кубанская Набережная;33;
ID 120085611;realtor;https://krasnodar.cian.ru/rent/flat/305624692/;Краснодар;rent;flat;12;25;1;42;50000;0;-1;-1;Центральный;Красная ;176/4;
ID 44402425;realtor;https://krasnodar.cian.ru/rent/flat/306887042/;Краснодар;rent;flat;3;14;1;52;50000;0;2008;-1;Фестивальный мкр; Монтажников;12.янв;
ID 2912536;realtor;https://krasnodar.cian.ru/rent/flat/306785576/;Краснодар;rent;flat;5;17;1;65;50000;0;2015;-1;Центральный; Имени 40-летия Победы;15;
Ирина  Акиншина;realtor;https://krasnodar.cian.ru/rent/flat/307397375/;Краснодар;rent;flat;7;25;1;41;51539;0;2019;-1;Центральный; Железнодорожная;23.янв;
ID 52885674;realtor;https://krasnodar.cian.ru/rent/flat/307202416/;Краснодар;rent;flat;12;16;1;50;50000;0;-1;16;мкр. Центральный; Бабушкина;295;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/305741075/;Краснодар;rent;flat;8;18;1;50;52500;0;2023;-1;Прикубанский; Им. Мурата Ахеджака;12;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/305584082/;Краснодар;rent;flat;6;18;1;50;52500;0;2023;-1;Прикубанский; Им. Мурата Ахеджака;12;
Надежда  Дунаева;realtor;https://krasnodar.cian.ru/rent/flat/305026836/;Краснодар;rent;flat;16;17;1;45;50000;0;2021;12;мкр. Горхутор; Имени Дзержинского;110А;
ID 11317361;homeowner;https://krasnodar.cian.ru/rent/flat/266653019/;Краснодар;rent;flat;19;25;1;42;50000;0;2016;-1;Центральный;Красная ;176лит1;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/235083378/;Краснодар;rent;flat;20;25;1;46;55000;0;2016;-1;Центральный;Красная ;176лит1;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/302318203/;Краснодар;rent;flat;9;25;1;50;55000;0;2016;-1;Западный; Имени П.М. Гаврилова;;
